epoch,loss,val_loss
0,0.645450234413147,0.21577318012714386
1,0.23510758578777313,0.18360616266727448
2,0.17977078258991241,0.12450826913118362
3,0.13415752351284027,0.08779850602149963
4,0.10387682169675827,0.06177395582199097
5,0.07817020267248154,0.0422230064868927
6,0.06830122321844101,0.03291114419698715
7,0.059064172208309174,0.0315527506172657
8,0.05762772634625435,0.03135475516319275
9,0.05409616604447365,0.03942861780524254
10,0.048563867807388306,0.04250263795256615
11,0.04911043867468834,0.027230121195316315
12,0.043755535036325455,0.023297933861613274
13,0.04096851497888565,0.018617743626236916
14,0.042458612471818924,0.01786685921251774
15,0.03879762440919876,0.02036612294614315
16,0.0368654802441597,0.016298532485961914
17,0.03742368891835213,0.017014143988490105
18,0.03871619701385498,0.01585354655981064
19,0.037277162075042725,0.014460388571023941
20,0.034629691392183304,0.01583586074411869
21,0.03592544049024582,0.014523576945066452
22,0.03501083329319954,0.01730085350573063
23,0.034598447382450104,0.015571320429444313
24,0.03378118947148323,0.01297006942331791
25,0.03256932646036148,0.012942355126142502
26,0.032897740602493286,0.015752242878079414
27,0.0326642282307148,0.012839053757488728
28,0.03248773515224457,0.012966014444828033
29,0.03299424424767494,0.017003944143652916
30,0.0321393758058548,0.012121266685426235
31,0.030273273587226868,0.014076587744057178
32,0.030456792563199997,0.012777413241565228
33,0.02424945868551731,0.010362195782363415
34,0.02214447595179081,0.009730931371450424
35,0.0221079271286726,0.00909661315381527
36,0.021636856719851494,0.008700775913894176
37,0.021056853234767914,0.00850151851773262
38,0.02120152860879898,0.007966261357069016
39,0.02148163877427578,0.008236818946897984
40,0.019125379621982574,0.007569342385977507
41,0.02044452354311943,0.007436955347657204
42,0.020229626446962357,0.007320323958992958
43,0.019824890419840813,0.007182286586612463
44,0.018737271428108215,0.007087721023708582
45,0.017894433811306953,0.0067247007973492146
46,0.018953094258904457,0.006698164157569408
47,0.018630370497703552,0.006741282995790243
48,0.018902666866779327,0.006508400663733482
49,0.018201880156993866,0.006461517885327339
50,0.018580671399831772,0.006807269994169474
51,0.019198359921574593,0.006287421099841595
52,0.017645232379436493,0.007246418856084347
53,0.01829211227595806,0.006137288641184568
54,0.016398822888731956,0.005882401950657368
55,0.01707454025745392,0.005818674806505442
56,0.01601005159318447,0.0057848249562084675
57,0.01603449136018753,0.005925018806010485
58,0.01606111228466034,0.005725419148802757
59,0.01615944691002369,0.005727479234337807
60,0.0157243050634861,0.005902803968638182
61,0.015578913502395153,0.005691698752343655
62,0.01583266258239746,0.0055316961370408535
63,0.015122709795832634,0.005580666940659285
64,0.0153873972594738,0.005613814573734999
65,0.014743290841579437,0.00554422615095973
66,0.01498677022755146,0.005454028956592083
67,0.015589814633131027,0.005456125363707542
68,0.0150265758857131,0.005399732384830713
69,0.015756169334053993,0.005478446837514639
70,0.015525659546256065,0.005284150596708059
71,0.014963984489440918,0.005296079441905022
72,0.015177168883383274,0.005275564733892679
73,0.014451620168983936,0.005265343468636274
74,0.015009731985628605,0.005243916995823383
75,0.014547452330589294,0.005237984005361795
76,0.014625628478825092,0.0052469996735453606
77,0.01404261589050293,0.005210655741393566
78,0.014872629195451736,0.005195469595491886
79,0.014248223975300789,0.005202598869800568
80,0.014166147448122501,0.00517973443493247
81,0.014586679637432098,0.005190705414861441
82,0.014709371142089367,0.005172214936465025
83,0.01466035284101963,0.005160168744623661
84,0.015351101756095886,0.005155465565621853
85,0.014664877206087112,0.005157918203622103
86,0.014756533317267895,0.005170319229364395
87,0.014350993558764458,0.005130188539624214
88,0.015420244075357914,0.0051113455556333065
89,0.014260472729802132,0.005105472635477781
90,0.014042743481695652,0.005103853065520525
91,0.01450415886938572,0.0050961910746991634
92,0.01468764990568161,0.005090263206511736
93,0.014608535915613174,0.005089940503239632
94,0.01456756517291069,0.005112678278237581
95,0.01445637084543705,0.005097686778753996
96,0.013830975629389286,0.005054350011050701
97,0.014526162296533585,0.005057701840996742
98,0.014242885634303093,0.005040462594479322
99,0.01464936789125204,0.005080170463770628
100,0.014374544844031334,0.005037207622081041
101,0.013621608726680279,0.005036546848714352
102,0.014551207423210144,0.005015611182898283
103,0.014273682609200478,0.005022580735385418
104,0.013784055598080158,0.004997674375772476
105,0.01399191189557314,0.0050652893260121346
106,0.014139654114842415,0.00498462887480855
107,0.014323387295007706,0.004989973269402981
108,0.014746141619980335,0.005000559613108635
109,0.014171485789120197,0.004967831075191498
110,0.014204829931259155,0.004965000785887241
111,0.013968795537948608,0.005000455770641565
112,0.01508090365678072,0.004939594771713018
113,0.014669724740087986,0.004940771032124758
114,0.013322911225259304,0.004934701137244701
115,0.013958427123725414,0.004916290286928415
116,0.014038647525012493,0.0049242000095546246
117,0.01462494395673275,0.004927594680339098
118,0.014345922507345676,0.0049280948005616665
119,0.014110174961388111,0.0048912158235907555
120,0.01423004548996687,0.00489535229280591
121,0.013632017187774181,0.004875282756984234
122,0.014675536192953587,0.0048758164048194885
123,0.014599013142287731,0.00489375926554203
124,0.014218438416719437,0.004895001649856567
125,0.013497307896614075,0.00486795837059617
126,0.01353977806866169,0.004876862280070782
127,0.014398783445358276,0.004838364664465189
128,0.013593866489827633,0.004830785561352968
129,0.01383488904684782,0.00484588835388422
130,0.014041317626833916,0.004819889087229967
131,0.014274129644036293,0.0048382519744336605
132,0.014673732221126556,0.004818531684577465
133,0.01415254920721054,0.004816500935703516
134,0.013643283396959305,0.004802815616130829
135,0.013574297539889812,0.004851341713219881
136,0.014363355934619904,0.004782659467309713
137,0.013994093053042889,0.004789470229297876
138,0.013640593737363815,0.00477169593796134
139,0.013956422917544842,0.004782743752002716
140,0.014475477859377861,0.004757592920213938
141,0.013933260925114155,0.004751530941575766
142,0.013597896322607994,0.004782362375408411
