epoch,loss,val_loss
0,4.056086540222168,3.2394840717315674
1,2.3939924240112305,2.747853994369507
2,1.4814069271087646,2.1362781524658203
3,0.9058234691619873,1.602014183998108
4,0.5688322186470032,1.194239616394043
5,0.378921240568161,0.718403697013855
6,0.2730542719364166,0.3480021059513092
7,0.21345622837543488,0.263435423374176
8,0.1799064576625824,0.1786952167749405
9,0.16074660420417786,0.1749720275402069
10,0.1460530012845993,0.16559384763240814
11,0.14061912894248962,0.16424869000911713
12,0.13233304023742676,0.22090619802474976
13,0.12963247299194336,0.16020269691944122
14,0.12381565570831299,0.17461365461349487
15,0.12729878723621368,0.20747409760951996
16,0.1231764405965805,0.14194943010807037
17,0.11789048463106155,0.18770267069339752
18,0.1227726861834526,0.1937359720468521
19,0.12124214321374893,0.21396273374557495
20,0.1215910017490387,0.14833001792430878
21,0.11600913852453232,0.18156279623508453
22,0.11861155182123184,0.1927274465560913
23,0.11385603994131088,0.5424848198890686
24,0.11651409417390823,0.12752299010753632
25,0.11224528402090073,0.18973349034786224
26,0.11355786770582199,0.32927262783050537
27,0.11258747428655624,0.14684787392616272
28,0.11161147803068161,0.18495523929595947
29,0.11160431802272797,0.14233708381652832
30,0.10875032842159271,0.1250671148300171
31,0.1096654161810875,0.5900092124938965
32,0.11253024637699127,0.16764971613883972
33,0.10420241951942444,0.1657932847738266
34,0.10772563517093658,0.22983554005622864
35,0.10458407551050186,0.14402711391448975
36,0.10428232699632645,0.13500815629959106
37,0.10131202638149261,0.1540677845478058
38,0.09951508790254593,0.16836117208003998
39,0.07443178445100784,0.1490607112646103
40,0.06136191263794899,0.127480149269104
41,0.05530447140336037,0.10689013451337814
42,0.05081645026803017,0.09314188361167908
43,0.048847001045942307,0.08089656382799149
44,0.04669671133160591,0.08415462076663971
45,0.04602344334125519,0.09807896614074707
46,0.043226998299360275,0.073707215487957
47,0.04267778992652893,0.0771261528134346
48,0.04226130247116089,0.07935982197523117
49,0.041737426072359085,0.08948656171560287
50,0.04131672903895378,0.08289818465709686
51,0.04046829789876938,0.08783329278230667
52,0.039565231651067734,0.09105943143367767
